id_estacion;Id_localidad;id_tipo_estacion;CP;Dirección;Margen;Longitud;Latitud;Toma de datos;rotulo_id;id_tipo_venta;Rem.;Horario;Tipo servicio
00001;1;1;02250;AVENIDA CASTILLA LA MANCHA, 26;2;-1,539167;39,211417;31/10/2024 15:22;1;1;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
00002;3;1;02152;CR CM-332, 46,4;1;-1,346083;39,100389;04/11/2024 15:22;2;1;dm;L-D: 7:00-23:00;L-D: 7:00-23:00 (A)
00003;2;1;02001;CALLE FEDERICO GARCIA LORCA, 5;1;-1,846361;38,997722;08/11/2024 11:23;2;1;dm;L-S: 05:00-23:00;L-S: 05:00-23:00 (A)
00004;5;1;02001;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5;1;-1,832;39,054694;08/11/2024 0:01;2;1;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
00005;5;1;02001;CALLE FEDERICO GARCIA LORCA, 1;2;-1,849833;39,000861;08/11/2024 11:59;2;1;dm;L-D: 24H;L-D: 24H (D)
00006;5;1;02001;AVENIDA 1º DE MAYO, S/N;3;-1,8685;38,985667;08/11/2024 11:23;2;2;dm;L-S: 08:00-22:00, D: 09:00-21:00;L-S: 08:00-22:00 (A), D: 09:00-21:00 (A)
00007;5;1;02005;CL PASEO DE LA CUBA, 15;2;-1,854556;38,999722;08/11/2024 0:00;2;1;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
00008;5;1;02005;AVENIDA ESCRITOR RODRIGO RUBIO, 3;2;-1,885361;39,006889;08/11/2024 15:00;2;1;dm;L-S: 09:00-21:30;Sin datos
00009;5;1;02005;AVENIDA MENÉNDEZ PIDAL, 58;3;-1,864917;39,003333;08/11/2024 9:38;2;1;dm;L-D: 24H;L-D: 24H (A)
00010;5;1;02005;PASEO CUBA (LA), 36;3;-1,859917;39,005083;08/11/2024 0:00;2;1;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
00011;5;1;02005;CALLE CONSTANTINO ROMERO, S/N;2;-1,884444;39,005528;08/11/2024 11:59;2;1;dm;L-D: 24H;L-D: 24H (D)
00012;5;1;02002;CALLE HERMANOS FALCÓ, 2;2;-1,849028;38,98925;07/11/2024 9:28;2;1;dm;L-D: 06:30-22:30;Sin datos
00013;5;1;02006;CARRETERA NACIONAL 322 PTO KM 347 KM. 347;2;-1,9355;38,965639;06/11/2024 7:00;2;1;dm;L-S: 07:00-22:00;L-S: 07:00-22:00 (A)
00014;5;1;02006;CARRETERA JAEN KM. 2;2;-1,871722;38,994667;08/11/2024 6:00;2;1;dm;L-D: 24H;L-D: 24H (A)
00015;5;1;02006;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N;3;-1,847361;38,988972;28/10/2024 13:03;2;1;dm;L-S: 07:00-23:00, D: 08:00-23:00;L-S: 07:00-23:00 (A), D: 08:00-23:00 (A)
00016;5;1;02006;CALLE ALMANSA, 2;1;-1,847083;38,984139;06/11/2024 22:27;2;1;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
00017;5;1;02006;AVDA. DE LOS TOREROS, S/N;3;-1,869889;38,998222;04/11/2024 0:00;2;1;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P)
00018;5;1;02006;CR N-322, 337,8;1;-2,031861;38,925833;04/11/2024 9:17;2;1;dm;L-D: 06:30-22:00;L-D: 06:30-22:00 (P)
00019;5;1;02006;CALLE CTRA. DE JAEN, 79;1;-1,883694;38,988111;04/11/2024 11:09;2;1;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
00020;5;1;02006;PG CAMPOLLANO-P. 2-CT, S.N.;2;-1,874972;39,012583;08/11/2024 0:00;2;1;OM;L-V: 06:00-22:00, S: 07:30-15:30, D: 09:00-15:00;L-V: 06:00-22:00 (A), S: 07:30-15:30 (A), D: 09:00-15:00 (A)
00021;5;1;02006;AVENIDA 1º DE MAYO, S/N;3;-1,866806;38,985194;04/11/2024 16:35;2;1;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
00022;5;1;02006;CARRETERA N-322 KM. 359;2;-1,845083;39,033139;08/11/2024 0:00;2;1;OM;L-V: 07:00-21:00, S-D: 09:00-14:00;Sin datos
00023;5;1;02006;AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N;3;-1,853306;38,982167;04/11/2024 0:00;2;1;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P)
00024;5;1;02006;CR N-301, 244;1;-1,892972;39,027778;08/11/2024 14:00;2;1;OM;L-D: 24H;L-D: 24H (A)
00025;5;1;02099;CARRETERA NACIONAL 301 KM. 256;2;-1,831639;38,929389;04/11/2024 0:00;2;1;dm;L-D: 24H;L-V: 00:00-06:00 (D), 06:00-22:00 (P), 22:00-23:59 (D), S: 00:00-07:00 (D), 07:00-15:00 (P), 15:00-23:59 (D), D: 24H (D)
