localidad_id;municipio_id;nombre
1;520;ABENGIBRE
2;1;BALAZOTE
3;170;ALATOZ
4;2;MONTEALEGRE DEL CASTILLO
5;581;ALBACETE
6;581;SANTA ANA
7;581;SALOBRAL (EL)
8;3;VERA
9;4;CANGAS DEL NARCEA
10;4;TEBONGO
11;5;SAN MARTIN DE OSCOS
12;907;ALCADOZO
13;6;CASTILBLANCO
14;101;ALCALA DEL JUCAR
15;7;CORONADA (LA)
16;684;ALCARAZ
17;684;JARDIN (EL)
18;8;CERVELLO
19;9;MONTORNES CENTRE
20;9;MONTORNES NORD
21;783;ALMANSA
22;10;PARDILLA
23;675;ALPERA
24;11;ARROYO DE LA LUZ
25;12;CASTAÑAR DE IBOR
26;833;BARRAX
27;13;SAN MAMES DE MERUELO
28;13;SAN MIGUEL DE MERUELO
29;258;BIENSERVIDA
30;14;HIGUERUELA
31;834;BONETE
32;15;ALCALALI
33;425;BONILLO (EL)
34;16;CARBONERAS
35;764;CASAS DE JUAN NUÑEZ
36;17;CUEVAS DEL ALMANZORA
37;17;PALOMARES
38;17;LOBOS (LOS)
39;17;GUAZAMARA
40;446;CASAS DE VES
41;18;MACAEL
42;765;CASAS-IBAÑEZ
43;19;GANGOSA (LA)
44;19;PUEBLA DE VICAR
45;19;VICAR
46;490;CAUDETE
47;20;SOTRONDIO
48;20;ENTREGO (EL)
49;316;CENIZATE
50;21;MONTIJO
51;835;CHINCHILLA DE MONTE-ARAGO
52;835;POZO BUENO
53;835;VILLAR DE CHINCHILLA
54;22;CASTELLBISBAL
55;22;AREA INDUSTRIAL DEL LLOBREGAT
56;22;POLIGON IND. SANT VICENÇ
57;23;ESPLUGUES DE LLOBREGAT
58;24;GUALBA DE BAIX
59;378;ELCHE DE LA SIERRA
60;25;GURB
61;836;FUENTE-ALAMO
62;26;SANT PERE MOLANTA
63;26;OLÈRDOLA
64;69;FUENTEALBILLA
65;27;SANT QUIRZE DEL VALLES
66;27;VALLES PARC
67;27;POBLE SEC
68;837;GINETA (LA)
69;28;VILADECAVALLS
70;28;CAN TRIAS INDUSTRIAL
71;379;GOLOSALVO
72;29;ELEJABEITIA
73;70;HELLIN
74;70;ISSO
75;30;ERANDIO-GOIKOA
76;31;PINOFRANQUEADO
77;32;LAUJAR DE ANDARAX
78;426;HOYA-GONZALO
79;33;BARCO DE AVILA (EL)
80;670;LETUR
81;34;PUEBLA DE LA CALZADA
82;742;LEZUZA
83;35;PETRA
84;207;MADRIGUERAS
85;36;OLMILLOS DE SASAMON
86;766;MAHORA
87;37;VILLALMANZO
88;278;MINAYA
89;38;AHIGAL
90;39;CASAR DE CACERES
91;838;MUNERA
92;40;JEREZ DE LA FRONTERA
93;40;GUADALCACIN DEL CAUDILLO
94;40;NUEVA JARILLA
95;40;BARCA DE LA FLORIDA (LA)
96;40;TORNO (EL)
97;40;TORRECERA
98;40;JOSE ANTONIO
99;784;NAVAS DE JORQUERA
100;41;BANYERES DE MARIOLA
101;259;NERPIO
102;42;PALAZUELO
103;42;PUEBLA DE ALCOLLARIN
104;883;ONTUR
105;43;LLUCMAJOR
106;43;ARENAL (S')
107;43;PALMERES (LES)
108;535;OSSA DE MONTIEL
109;44;SANTA EULALIA DE RONÇANA
110;260;PEÑAS DE SAN PEDRO
111;45;ARGOMILLA
112;45;ENCINA (LA)
113;427;PETROLA
114;46;ALGORFA
115;785;POZO CAÑADA
116;47;ORBA
117;714;POZOHONDO
118;714;NAVA DE ABAJO
119;48;PALACIOS DE GODA
120;49;CAMPANARIO
121;71;POZO-LORENTE
122;50;SAN VICENTE DE ALCANTARA
123;239;POZUELO
124;51;ALAIOR
125;536;RIOPAR
126;52;BINISSALEM
127;767;ROBLEDO
128;53;MASNOU (EL)
129;743;RODA (LA)
130;54;SANT VICENÇ DELS HORTS
131;642;SOCOVOS
132;55;SANTA MARGARIDA MONTBUI
133;208;TARAZONA DE LA MANCHA
134;56;MEDINA DE POMAR
135;676;TOBARRA
136;57;QUINTANA MARTIN GALINDEZ
137;209;VALDEGANGA
138;58;ALMARAZ
139;59;VILLALGORDO DEL JUCAR
140;677;VILLAMALEA
141;60;CATRAL
142;113;VILLAPALACIOS
143;61;JÁVEA/XÀBIA
144;839;VILLARROBLEDO
145;62;GERGAL
146;380;YESTE
147;63;ODENA
148;563;AGOST
149;64;ABADIÑO-ZELAIETA
150;537;ALBATERA
151;65;BALMASEDA
152;66;ROA
153;491;ALCOY/ALCOI
154;67;ESCALADA
155;317;ALFAS DEL PI (L')
156;68;CAÑAVERAL
157;589;ALGUEÑA
158;492;ALICANTE/ALACANT
159;492;SANTA FAZ
160;492;BACAROT (EL)
161;492;FONT-CALENT
162;492;MORALET
163;72;HONDON DE LAS NIEVES
164;73;REDOVAN
165;74;ABLA
166;75;ANTAS
167;840;ALMORADI
168;76;DALIAS
169;428;ALTEA
170;428;ALTEA LA VELLA
171;77;VELEZ-RUBIO
172;78;GRANDAS DE SALIME
173;292;ASPE
174;79;SAN ESTEBAN DEL VALLE
175;80;ALBUERA (LA)
176;631;BENEIXAMA
177;81;ALCONCHEL
178;768;BENEJUZAR
179;82;BADAJOZ
180;82;GEVORA
181;82;NOVELDA DEL GUADIANA
182;82;GUADIANA DEL CAUDILLO
183;82;VILLAFRANCO DEL GUADIANA
184;82;ALBALA
185;590;BENIDORM
186;83;MONESTERIO
187;521;BENIJOFAR
188;84;VILLAGONZALO
189;564;BENISSA
190;85;SANTA MARIA DEL CAMI
191;412;BENITACHELL
192;86;AMETLLA DEL VALLES (L')
193;86;SERRAT DE L'OCATA
194;685;BIAR
195;87;MOLLET DEL VALLES
196;715;BIGASTRO
197;88;SALDES
198;190;BUSOT
199;89;SANT ANDREU DE LLAVANERES
200;591;CALLOSA DE SEGURA
201;90;SANT FRUITOS DE BAGES
202;493;CALLOSA D'EN SARRIA
203;91;MONJOS (ELS)
204;649;CALPE
205;92;VALLGORGUINA
206;592;CAMPELLO (EL)
207;93;BERBERANA
208;227;CAÑADA
209;94;ALCANTARA
210;261;CASTALLA
211;95;ALGECIRAS
212;96;BARRIOS (LOS)
213;96;PALMONES
214;262;COCENTAINA
215;97;TREBUJENA
216;447;COX
217;98;SOBARZO
218;228;CREVILLENT
219;99;PUENTE VIESGO
220;884;DENIA
221;100;CASTANEDO
222;100;LOREDO
223;293;DOLORES
224;494;ELCHE/ELX
