id_estacion;id_carburante;precio_carburante 
1;1;1,399
1;6;1,329
1;8;0,899
2;1;1,699
2;6;1,589
2;7;1,709
3;6;1,499
4;1;1,549
4;4;1,691
4;6;1,479
4;7;1,569
5;1;1,359
5;6;1,259
6;1;1,529
6;4;1,629
6;6;1,449
6;7;1,489
7;1;1,549
7;4;1,669
7;6;1,489
7;7;1,549
7;13;0,939
8;1;1,358
8;6;1,258
8;7;1,368
8;13;0,818
9;1;1,549
9;4;1,669
9;6;1,479
9;7;1,539
10;1;1,588
10;4;1,72
10;6;1,51
10;7;1,577
10;13;0,939
11;1;1,359
11;6;1,259
12;1;1,599
12;4;1,719
12;6;1,509
12;7;1,579
13;6;1,389
14;1;1,549
14;3;1,589
14;4;1,669
14;6;1,479
14;7;1,539
15;1;1,359
15;4;1,559
15;6;1,259
15;7;1,359
16;1;1,594
16;4;1,726
16;6;1,499
16;7;1,566
17;1;1,479
17;6;1,369
17;7;1,419
18;1;1,569
18;4;1,709
18;6;1,469
18;7;1,539
19;1;1,539
19;4;1,669
19;6;1,459
19;7;1,529
20;1;1,549
20;4;1,669
20;6;1,489
20;7;1,549
21;1;1,489
21;6;1,369
22;1;1,539
22;4;1,659
22;6;1,479
22;7;1,559
23;1;1,479
23;6;1,369
24;1;1,549
24;4;1,669
24;6;1,489
24;7;1,549
25;1;1,479
25;6;1,369
26;1;1,619
26;4;1,669
26;6;1,509
26;7;1,589
27;1;1,499
27;4;1,619
27;6;1,449
27;7;1,509
27;8;1,16
28;1;1,405
28;6;1,306
28;7;1,86
28;8;0,97
29;8;0,99
30;1;1,489
30;4;1,639
30;6;1,369
30;7;1,469
31;1;1,479
31;6;1,369
31;7;1,419
32;1;1,489
32;6;1,369
33;14;1,389
33;15;1,219
34;1;1,449
34;6;1,289
35;1;1,488
35;4;1,579
35;6;1,388
35;7;1,478
36;1;1,539
36;4;1,659
36;6;1,479
36;7;1,539
37;1;1,479
37;6;1,33
38;1;1,549
38;4;1,709
38;6;1,479
38;7;1,539
38;13;0,949
39;1;1,589
39;4;1,719
39;6;1,509
39;7;1,589
39;8;1,639
40;1;1,539
40;3;1,579
40;4;1,659
40;6;1,479
40;7;1,539
41;1;1,479
41;6;1,369
42;1;1,355
42;6;1,255
43;6;1,299
44;1;1,519
44;4;1,651
44;6;1,439
44;7;1,519
45;1;1,524
45;6;1,439
45;7;1,519
46;1;1,599
46;4;1,719
46;6;1,509
46;7;1,579
47;1;1,479
47;6;1,379
48;1;1,599
48;6;1,529
48;7;1,599
48;8;1,269
49;1;1,479
49;6;1,369
50;1;1,539
50;4;1,729
50;6;1,459
50;7;1,519
