provincia_id;comunidad_id;nombre;;
1;1;ALMERÍA;;
2;1;CÁDIZ;;
3;1;CÓRDOBA;;
4;1;GRANADA;;
5;1;HUELVA;;
6;1;JAÉN;;
7;1;MÁLAGA;;
8;1;SEVILLA;;
9;2;HUESCA;;
10;2;TERUEL;;
11;2;ZARAGOZA;;
12;3;ASTURIAS;;
13;4;BALEARS (ILLES);;
14;5;PALMAS (LAS);;
15;5;SANTA CRUZ DE TENERIFE;;
16;6;CANTABRIA;;
17;7;ÁVILA;;
18;7;BURGOS;;
19;7;LEÓN;;
20;7;PALENCIA;;
21;7;SALAMANCA;;
22;7;SEGOVIA;;
23;7;SORIA;;
24;7;VALLADOLID;;
25;7;ZAMORA;;
26;8;ALBACETE;;
27;8;CIUDAD REAL;;
28;8;CUENCA;;
29;8;GUADALAJARA;;
30;8;TOLEDO;;
31;9;BARCELONA;;
32;9;GIRONA;;
33;9;LLEIDA;;
34;9;TARRAGONA;;
35;10;ALICANTE;;
36;10;CASTELLÓN / CASTELLÓ;;
37;10;VALENCIA / VALÈNCIA;;
38;11;BADAJOZ;;
39;11;CÁCERES;;
40;12;CORUÑA (A);;
41;12;LUGO;;
42;12;OURENSE;;
43;12;PONTEVEDRA;;
44;13;MADRID;;
45;14;MURCIA;;
46;15;NAVARRA;;
47;16;ARABA/ÁLAVA;;
48;16;GIPUZKOA;;
49;16;BIZKAIA;;
50;17;RIOJA (LA);;
51;18;CEUTA;;
52;19;MELILLA;;
