rotulo_id;nombre
1;Nº 10.935
2;REPSOL
3;CEPSA
4;BP ROMICA
5;PLENOIL
6;CARREFOUR
7;A&A
8;TAMOS
9;P347
10;FAMILY ENERGY
11;INPEALSA
12;PETROCAMP
13;LOZANO
14;CORYMAR
15;ENERCOM CARBURANTES
16;VALERO 24H
17;NATURGY ES  GNV ALBACETE
18;FAST & GAS
19;ALCAMPO
20;REPSOL Nº ESTACIÓN 97179
21;ABOIL
22;"INLOCOR S.L. ""CEPSA"""
23;REPSOL. LOS ANGELES DE LA MANCHA, S.L.
24;LA GAVIOTA GASOLINERA 24 HORA
25;GMOIL
26;AVANZA OIL
27;AREA LOS LLANOS
28;EL JUCAR
29;SHELL
30;GASÓLEOS S. ALMANSA
31;GASOLINERA LOW COST PENADES
32;QUALITY ALMANSA
33;COOPERATIVA SANTA CRUZ DE ALPERA
34;E.S. BALAZOTE S.L.
35;COABA
36;E.S. BARRAX S.L.
37;GASOLINERA ETENOIL
38;GASOLINERAS DEL REY
39;COOPERATIVA
40;NTRA SRA DE LA CABEZA
41;VILA Y FAYOS 
42;HAM
43;GALP
44;BP PARGA I PETROL BAS BEL
45;VIRGEN DE LAS NIEVES
46;DLP
47;CAMPSA
48;SAN DIONISIO
49;Nº 7374
50;ES SAN ANTONIOABAD. FUENTEALBILLA
51;HELLIN GAS S.L.
52;PETROGAS
53;IDS
54;PETRONOR
55;BP
56;MULTSER-OIL
57;NO
58;E.S. LETUR
59;E.S. VIRGEN DE LA CRUZ
60;Q8
61;SAT VIDEMA
62;SECADEMA
63;BODEGAS SANTIAGO APOSTOL
64;LOS CORRALES
65;OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM
66;COOP SAN GREGORIO
67;REPSOL 
68;ONTALBA S. COOP DE C-LM
69;VALERO 24H ENERGIA
70;GASOLEOS TURBULA 
71;E.S. LEDAÑA 
72;POZOTRANS
73;CAMPAREZ GASOLINERA
74;SAT SANTA CRUZ DE POZO LORENTE
75;INLOCOR S.L.
76;CANOIL
77;GASPLAY
78;LA REMEDIADORA
79;BP CASA JUANITO RESTAURANTE
80;RODATRANS
81;NAVARRO Y VALERO, S.L
82;LA GAVIOTA GASOLINERAS
83;COOP. LA UNION AB
84;SAN ROQUE DE TOBARRA S. COOP. DE C-LM
85;NTRA. SRA. DE LA ENCARNACION
86;E.S. TOBARRA
87;NO HAY
88;SAN ISIDRO
89;E.S EL GORRION
90;BODEGAS SAAC
91;CHAMPINTER
92;SIERRA DE ALCARAZ
93;COMBUSTIBLES FIEL, S.L.
94;ESTACIÓN DE SERVICIO LOS VIÑEDOS
95;MOLGAS
96;PAÑALON
97;BP VILLARROBLEDO
98;COMBUSTIBLES DISPROSIO S.L.
99;VINICOLA DE VILLARROBLEDO
100;AVIA
101;SUVER GASOLEOS 
102;FTH
103;BALLENOIL
104;PLENOIL 
105;MASOIL ALCOY
106;GASEXPRESS
107;GASOLINERA ALCOY 
108;BP ALFAZ DEL PI
109;BEROIL
110;BP EL ZOCO
111;BP SANDOVAL MI
112;BP SANDOVAL MD
113;AVANZA LOW COST
114;GM OIL
115;BP VISTAHERMOSA 
116;PETROALACANT
117;GOTETA
118;AVANZA
119;PETROPRIX
120;VCC ALICANTE 
121;BP REJAS VERDES
122;E.S. SANTA FAZ
123;CONFORT AUTO
124;TAMOIL
125;ALSA
126;PETRO ALACANT
127;AQUAVEL
128;AGRICOOP
129;ATALAYAS
130;PARCELOGIC
131;GASOLEO EXPRES
132;LAS MAROMAS
133;PETROPRIX 
134;CEPSA ELF
135;RASPA-OIL (SERV. ATENDIDO)
136;QFS
137;CEPSA ESPAÑA S.A.
138;LEVANTINA
139;GASOLINERA ASPE
140;COOPERATIVA DIVINA AURORA
141;GASOLWIN BENEIXAMA
142;BP CALA BENIDORM
143;BP BENIDORM
144;BP EUROBENIDORM
145;PETROENERGY
146;VCC ANOUER
147;BP LA ISLETA
148;BENIEXPRESS
149;ROSELLO
150;VCC BENISSA
151;BP BENISSA
152;MASOIL BENISA
153;MEROIL
154;(SIN RÓTULO)
155;BIGASOIL
156;ATLANTIS EXPRESS
157;RITOR DIESEL
158;BP OIL ESPAÑA, S.A.U.
159;COFRADIA DE PESCADORES
160;CALPE AUTOMOCION II
161;DRZ
162;CALPE AUTOMOCION
163;AUTOFUEL LOW COST
164;GASEXPRESS CAMPELLO
165;REPSOL-RIO SECO
166;CAMPELLO - GOTETA II
167;COOPERATIVA SAN CRISTOBAL
168;MASOIL CASTALLA
169;LUZOIL
170;BRIOGAS
171;LA 23
172;FUTURA PETROLIUM 
173;PEPE RAMON
174;BP COX
175;BP  POLIGONO CREVILLENTE
176;H.S
177;MOSCARDÓ
178;TECKMAR
179;GASDEN
180;REPSOL COMERCIAL
181;MAYAYO
182;LA ESTACION
183;E.S. EL POLIGONO
184;GM OIL ELCHE
185;CEPSA LA GALIA
186;ABIERTO (SERVICIO ATENDIDO)
187;MORA
188;E.S. PLUSOIL
189;EL CANARI
190;GASOLINERA D'ELX (S. ATENDIDO)
191;BP ALJUB
192;MARINA DE LA PLANA
193;BP SAN ANTON
194;BDMED ELDA
195;V2 GASOLINERAS
196;REPOSTANDO
197;ZARCAR
198;BP FORMENTERA (LOS PALACIOS)
199;GASOLINERA DE FORMENTERA
200;JOSBERFUEL
201;CEPSA 
202;GÓMEZ Y SIRVENT
203;SEVEN OIL
204;SANTA CRUZ
205;BP IBI
206;E.S. CAÑIZARES
207;NEFT
208;BP PETROBENE
209;A.ESTELA
210;ECO COMBUSTIBLE 24H LOW COST
211;COOPERATIVA V. AGRICOLA MONFORTE DEL CID
212;E.S. TEXAS
213;GLOBAL OIL
214;GASOLPOP,S.L.
215;BP MUCHAMIEL
216;BP SANT PERET
217;BP INNUBEL - NOVELDA
218;BP LA NUCIA
219;AUTOIL ONDARA
220;LOW COST 24H
221;EL CANARI ONIL
222;GASORBA
223;REVISOIL
224;BP LA ZENIA
225;VEGARA 
226;EL TANQUE
227;COMBUSTIBLES LA MURADA
228;EASYGAS
229;COMBUSTIBLES LA MURADA,S.L.
230;BP LOMAS DE CABO ROIG
231;COMBUSELLA
232;COOPEGO
233;BP PEGO
234;E.S. PETRER-ELDA
235;ÁRTICO OIL
236;SURINVER
237;RHR
238;E.S.HORADADA
239;E.S. LA TORRE
240;GLOBALTANK PINOSO
241;BP ROJALES
242;GLOBAL OIL  
243;SIN ROTULO
244;GHOL
245;BDMED
246;NATURGY
247;ESTACION DE SERVICIO PETROBLUE 
248;COFRADÍA DE PESCADORES
249;SANTA POLA
250;LOW COST
251;VCC SANTA POLA
252;POLAGAS
253;BP XIRAU
254;BP OIL ESPAÑA
255;LA HITA - TORREVIEJA
256;E.S. LAS SALINAS
257;GM OIL TORREVIEJA
258;REPSOL - EL CHAPARRAL
259;QUALITY OIL
260;BP CORONELITA
261;PETROESPAÑA
262;+B ENERGIAS 
263;SUMINISTROS HERMANOS HT
264;PETROLAVILA
265;LA MORENICA
266;BP 
267;JBM
268;E.S CAMPOEJIDO ADRA
269;CAMPOADRA
270;E.S.TERDIGUERA
271;CARBURANTES ALMANZORA SL
272;TRANSRUMAR
273;BP SAN JOSE
274;SECTOROIL
275;BP LOS PARTIDORES
276;CIUDAD DEL TAXI
277; BP RAMBLA INIESTA
278;BP MONTSERRAT  ALMERIA
279;BP SIERRA ALHAMILLA
280;LA TORRE
281;E.S. ALVAMAR
282;ISABEL ALONSO
283;HNOS.MARTINEZ
284;E.S.ARBOLEAS
285;MORA OIL 
286;TRUCKSTOP
287;EESS VEFRUBER
288;CABASC, S.C.A.
289;AGLA
290;CARBURANTES DE CANTORIA
291;INDAPAK LOGISTICS
292;CBT CARBOTRANS S.COOP.AND
293;BP OIL ESPAÑA 
294;ES BORJA - E.S.SOBRADO DE PICATO, S.L.U
295;PET. ALARCÓN Y GARCÍA 
296;A.S. EL ARTINERO
297;TRUCK STOP DALIAS
298;E.S. CAMPEJIDO DALIAS
299;GASOLINERA EL EJIDO
300;BP EL EJIDO - COOP SANTA MARIA
301;CIUDAD EJIDO,S.L
302;E.S CAMPOEJIDO LAS PEÑAS
303;E.S. CAMPOEJIDO CTRA ALMERIMAR
304;CAMPOEJIDO  
305;CAMPOEJIDO
306;E.S. COOP SANTA MARIA DEL AGUILA - EL EJIDO
307;BAHIA DE ALMERIMAR 
308;EJIDO OESTE
309;ES NORIAS
310;HAFESA
311;TRANSPORTES BEARCA S.L.
312;ESTACION DE SERVICIO VICASOL S.L.
313;SPLASH
314;INDASOL
315;E.S CAMPOEJIDO TIERRAS ALMERIA
316;REPSOL LA COSTA
317;AGROPONIENTE
318;EJIDOMAR
319;E.S.CAMPOEJIDO-LA ALDEILLA
320;TRUCK STOP DEL PONIENTE 
321;TRUCK STOP EL EJIDO S.L.
322;EESS FEPSA
323;ECONORIAS
324;BP SANTA MARIA DEL AGUILA
325;COHORSAN SCA
326;E.S.BALERMAMAR SL
327;LA TARAMBANA
328;GONZALEZ CAÑABATE CARBURANTES
329;SUIMASA
330;COOP. TRACOMAR
331;COALTRANS S COOP AND
332;OIL BAROL
333;OIL JCJ
334;"ANDAMUR ""EL LIMITE"""
335;E.S H8 ENERGYS
336;INICIATIVAS RUMIAL
337;AUTOSERVICIOS LARPY
338;NTRA SRA DEL ROSARIO
339;AGLA E.S. CRUCE LOS PALOS
340;BP NIJAR
341;BP VENTA DEL POBRE
342;BP ESTACION DE SERVICIO EL 21
343;S.A.T. COSTA DE NIJAR
344;BIO SABOR
345;LITORAL DE NIJAR
346;COPROHNIJAR S.C.A.
347;HORTOFRUCOOP S.C.A.
348;"CASI "" COOPERATIVA AGRICOLA """
349;EE.SS. SAN SEBASTIAN
350;E.S. AQUACENTER
351;EUROPULPI
352;CONSUMOMAR S.C.A.
353;E.S PACOCALCULA
354;COSTA DE ALMERIA
355;E.S. CAMPOEJIDO ROQUETAS
356;BP ROQUETAS
357;BP AGUADULCE
358;BP E.S. LOS MILLARES
359;CITRASOR, SCA
360;E/S  SAN JAVIER
361;CEPSA - LOS FILABRES SCA
362;BP LA ERA TABERNAS
363;VOLACAN
364;ANROROIL
365;TOPFUEL
366;LAS PEPAS
367;ESTACION DE SERVICIO VELEZ RUBIO
368;INV
369;VERADIESEL
370;VULCO
371;ESTACION SERVICIO VERA SV
372;S.A.T. PISAICA DE LA VIRGEN
373;BP VIATOR
374;GONZALEZ CAÑABATE, S.L.
375;ENERGY CARBURANTES
376;CAMPO ROQUETAS
377;E.S. GASOLEOS HORTICAMPO - VICAR
378;E.S.VICASOL
379;BP VIAPARK
380;E.S. COOP SANTA MARIA-VICAR-MURGIVERDE
381;CONSUMOMAR
382;BP VICAR
383;OIL BAROL SL
384;ES DULANTZI REPSOL
385;ESTACIONES GB
386;AVIA 
387;ADS
388;EUROCAM
389;BIDEKO ATERPE
390;GERANTISAN
391;OÑATRANS
392;EROSKI
393;E.S. OION
394;E.S. TOCALU 
395;EESS DYNEFF
396;ALAVESA
397;FUEL TRUCK
398;ORHELA
399;"ANDAMUR ""SAN ROMAN"""
400;VALCARCE
401;ARMENTIA
402;ONA LOWCOST
403;COALTRANS  SDAD COOP
404;EUSKADILOWCOST
405;ONAINDIA
406;BP GAMARRA
407;GAMARRA LOW COST
408;BP  SALBURUA
409;NORPETROL
410;BEROIL GASTEIZ
411;LOW COST EUSKADI SL
412;N1JUNDIZ
413;COCEFOR
414;TRANSARABA
415;IBAIA ENERGY
416;BLANCA
417;PETROPRIX AVILES
418;FAST FUEL
419;E.S. CRISTALERIA
420;ZEPXA ECO
421;ESC-PETROLEOS
422;GALP ARRIONDAS
423;CAMPOASTUR
424;FLOREZ COSMEN, S.L.
425;ESOIL
426;BP - CARREÑO
427;A. G. 
428;GF
429;MP
430;CORVERA
431;VALCARCE (GHC )
432;SOLRAS
433;GASOLINERA CEPSA LA CARIDAD
434;WASHMAX
435;INNOGAS
436;TRANSPORTES SETRALI
