id_esatcion;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1;1,399;;;;;1,329;;0,899;;;;;;;;;
2;1,699;;;;;1,589;1,709;;;;;;;;;;
3;;;;;;1,499;;;;;;;;;;;
4;1,549;;;1,691;;1,479;1,569;;;;;;;;;;
5;1,359;;;;;1,259;;;;;;;;;;;
6;1,529;;;1,629;;1,449;1,489;;;;;;;;;;
7;1,549;;;1,669;;1,489;1,549;;;;;;0,939;;;;
8;1,358;;;;;1,258;1,368;;;;;;0,818;;;;
9;1,549;;;1,669;;1,479;1,539;;;;;;;;;;
10;1,588;;;1,720;;1,510;1,577;;;;;;0,939;;;;
11;1,359;;;;;1,259;;;;;;;;;;;
12;1,599;;;1,719;;1,509;1,579;;;;;;;;;;
13;;;;;;1,389;;;;;;;;;;;
14;1,549;;1,589;1,669;;1,479;1,539;;;;;;;;;;
15;1,359;;;1,559;;1,259;1,359;;;;;;;;;;
16;1,594;;;1,726;;1,499;1,566;;;;;;;;;;
17;1,479;;;;;1,369;1,419;;;;;;;;;;
18;1,569;;;1,709;;1,469;1,539;;;;;;;;;;
19;1,539;;;1,669;;1,459;1,529;;;;;;;;;;
20;1,549;;;1,669;;1,489;1,549;;;;;;;;;;
21;1,489;;;;;1,369;;;;;;;;;;;
22;1,539;;;1,659;;1,479;1,559;;;;;;;;;;
23;1,479;;;;;1,369;;;;;;;;;;;
24;1,549;;;1,669;;1,489;1,549;;;;;;;;;;
25;1,479;;;;;1,369;;;;;;;;;;;
26;1,619;;;1,669;;1,509;1,589;;;;;;;;;;
27;1,499;;;1,619;;1,449;1,509;1,160;;;;;;;;;
28;1,405;;;;;1,306;1,860;0,970;;;;;;;;;
29;;;;;;;;0,990;;;;;;;;;
30;1,489;;;1,639;;1,369;1,469;;;;;;;;;;
31;1,479;;;;;1,369;1,419;;;;;;;;;;
32;1,489;;;;;1,369;;;;;;;;;;;
33;;;;;;;;;;;;;;1,389;1,219;;
34;1,449;;;;;1,289;;;;;;;;;;;
35;1,488;;;1,579;;1,388;1,478;;;;;;;;;;
36;1,539;;;1,659;;1,479;1,539;;;;;;;;;;
37;1,479;;;;;1,330;;;;;;;;;;;
38;1,549;;;1,709;;1,479;1,539;;;;;;0,949;;;;
39;1,589;;;1,719;;1,509;1,589;1,639;;;;;;;;;
40;1,539;;1,579;1,659;;1,479;1,539;;;;;;;;;;
41;1,479;;;;;1,369;;;;;;;;;;;
42;1,355;;;;;1,255;;;;;;;;;;;
43;;;;;;1,299;;;;;;;;;;;
44;1,519;;;1,651;;1,439;1,519;;;;;;;;;;
45;1,524;;;;;1,439;1,519;;;;;;;;;;
46;1,599;;;1,719;;1,509;1,579;;;;;;;;;;
47;1,479;;;;;1,379;;;;;;;;;;;
48;1,599;;;;;1,529;1,599;1,269;;;;;;;;;
49;1,479;;;;;1,369;;;;;;;;;;;
50;1,539;;;1,729;;1,459;1,519;;;;;;;;;;
