municipio_id;provincia_id;nombre
1;26;BALAZOTE
2;26;MONTEALEGRE DEL CASTILLO
3;26;VERA
4;1;CANGAS DEL NARCEA
5;1;SAN MARTÍN DE OSCOS
6;1;CASTILBLANCO
7;1;CORONADA (LA)
8;1;CERVELLÓ
9;1;MONTORNÈS DEL VALLÈS
10;2;PARDILLA
11;12;ARROYO DE LA LUZ
12;12;CASTAÑAR DE IBOR
13;12;MERUELO
14;38;HIGUERUELA
15;38;ALCALALÍ
16;38;CARBONERAS
17;38;CUEVAS DEL ALMANZORA
18;38;MACAEL
19;38;VÍCAR
20;38;SAN MARTÍN DEL REY AURELIO
21;31;MONTIJO
22;31;CASTELLBISBAL
23;31;ESPLUGUES DE LLOBREGAT
24;31;GUALBA
25;31;GURB
26;31;OLÈRDOLA
27;31;SANT QUIRZE DEL VALLÈS
28;31;VILADECAVALLS
29;31;ARTEA
30;31;ERANDIO
31;31;PINOFRANQUEADO
32;18;LÁUJAR DE ANDARAX
33;18;BARCO DE ÁVILA (EL)
34;18;PUEBLA DE LA CALZADA
35;39;PETRA
36;39;SASAMÓN
37;39;VILLALMANZO
38;39;AHIGAL
39;39;CASAR DE CÁCERES
40;16;JEREZ DE LA FRONTERA
41;16;BANYERES DE MARIOLA
42;13;VILLAR DE RENA
43;13;LLUCMAJOR
44;13;SANTA EULÀLIA DE RONÇANA
45;13;SANTA MARÍA DE CAYÓN
46;35;ALGORFA
47;35;ORBA
48;35;PALACIOS DE GODA
49;35;CAMPANARIO
50;17;SAN VICENTE DE ALCÁNTARA
51;17;ALAIOR
52;49;BINISSALEM
53;49;MASNOU (EL)
54;31;SANT VICENÇ DELS HORTS
55;31;SANTA MARGARIDA DE MONTBUI
56;18;MEDINA DE POMAR
57;18;VALLE DE TOBALINA
58;39;ALMARAZ
59;26;VILLALGORDO DEL JÚCAR
60;35;CATRAL
61;35;JÁVEA/XÀBIA
62;1;GÉRGAL
63;31;ÒDENA
64;49;ABADIÑO
65;49;BALMASEDA
66;18;ROA
67;18;VALLE DE SEDANO
68;39;CAÑAVERAL
69;26;FUENTEALBILLA
70;26;HELLÍN
71;26;POZO-LORENTE
72;35;HONDÓN DE LAS NIEVES
73;35;REDOVÁN
74;1;ABLA
75;1;ANTAS
76;1;DALÍAS
77;1;VÉLEZ-RUBIO
78;12;GRANDAS DE SALIME
79;17;SAN ESTEBAN DEL VALLE
80;38;ALBUERA (LA)
81;38;ALCONCHEL
82;38;BADAJOZ
83;38;MONESTERIO
84;38;VILLAGONZALO
85;13;SANTA MARÍA DEL CAMÍ
86;31;AMETLLA DEL VALLÈS (L')
87;31;MOLLET DEL VALLÈS
88;31;SALDES
89;31;SANT ANDREU DE LLAVANERES
90;31;SANT FRUITÓS DE BAGES
91;31;SANTA MARGARIDA I ELS MONJOS
92;31;VALLGORGUINA
93;18;BERBERANA
94;39;ALCÁNTARA
95;2;ALGECIRAS
96;2;BARRIOS (LOS)
97;2;TREBUJENA
98;16;PENAGOS
99;16;PUENTE VIESGO
100;16;RIBAMONTÁN AL MAR
101;26;ALCALÁ DEL JÚCAR
102;1;FIÑANA
103;1;NACIMIENTO
104;17;NAVA DE ARÉVALO
105;13;MAHÓN
106;31;MONTMELÓ
107;31;PAPIOL (EL)
108;49;OTXANDIO
109;18;CARCEDO DE BURGOS
